Date,GBP/USD
2015-06-08,0.65447
2015-06-09,0.6501100000000001
2015-06-10,0.6439699999999999
2015-06-11,0.64549
2015-06-12,0.6416
2015-06-15,0.64222
2015-06-16,0.63956
2015-06-17,0.63673
2015-06-18,0.62969
2015-06-19,0.6298199999999999
2015-06-22,0.632
2015-06-23,0.63495
2015-06-24,0.63775
2015-06-25,0.6359199999999999
2015-06-26,0.63539
2015-06-29,0.63442
2015-06-30,0.63597
2015-07-02,0.6405
2015-07-03,0.64213
2015-07-06,0.64023
2015-07-07,0.64732
2015-07-08,0.6513800000000001
2015-07-09,0.6504300000000001
2015-07-10,0.6451
2015-07-13,0.64445
2015-07-14,0.6417
2015-07-15,0.6401899999999999
2015-07-16,0.64105
2015-07-17,0.64007
2015-07-20,0.64159
2015-07-21,0.6431
2015-07-22,0.64041
2015-07-23,0.64381
2015-07-24,0.64462
2015-07-27,0.6412800000000001
2015-07-28,0.64039
2015-07-29,0.6401
2015-07-30,0.6418
2015-07-31,0.63968
2015-08-04,0.64059
2015-08-05,0.64085
2015-08-06,0.64436
2015-08-07,0.64666
2015-08-10,0.64331
2015-08-11,0.6422100000000001
2015-08-12,0.63944
2015-08-13,0.6412
2015-08-14,0.64007
2015-08-17,0.6412100000000001
2015-08-18,0.63871
2015-08-19,0.63926
2015-08-20,0.63749
2015-08-21,0.6371
2015-08-24,0.63573
2015-08-25,0.6370600000000001
2015-08-26,0.64553
2015-08-27,0.64898
2015-08-28,0.65098
2015-08-31,0.65096
2015-09-01,0.65188
2015-09-02,0.6532
2015-09-03,0.65569
2015-09-04,0.6581600000000001
2015-09-08,0.6501899999999999
2015-09-09,0.65093
2015-09-10,0.64694
2015-09-11,0.6482399999999999
2015-09-14,0.64842
2015-09-15,0.65142
2015-09-16,0.64525
2015-09-17,0.64482
2015-09-18,0.64223
2015-09-21,0.6449600000000001
2015-09-22,0.6512
2015-09-23,0.6560699999999999
2015-09-24,0.65565
2015-09-25,0.6591600000000001
2015-09-28,0.65759
2015-09-29,0.6593399999999999
2015-09-30,0.66163
2015-10-01,0.65956
2015-10-02,0.65725
2015-10-05,0.6594300000000001
2015-10-06,0.65677
2015-10-07,0.65304
2015-10-08,0.65296
2015-10-09,0.6530100000000001
2015-10-13,0.6561600000000001
2015-10-14,0.64751
2015-10-15,0.64623
2015-10-16,0.64765
2015-10-19,0.64641
2015-10-20,0.64647
2015-10-21,0.64675
2015-10-22,0.6494
2015-10-23,0.6519199999999999
2015-10-26,0.65104
2015-10-27,0.6531
2015-10-28,0.65277
2015-10-29,0.65389
2015-10-30,0.64758
2015-11-02,0.6482399999999999
2015-11-03,0.64923
2015-11-04,0.6503
2015-11-05,0.6564800000000001
2015-11-06,0.66361
2015-11-09,0.6613
2015-11-10,0.66189
2015-11-12,0.65769
2015-11-13,0.65759
2015-11-16,0.65775
2015-11-17,0.65733
2015-11-18,0.65756
2015-11-19,0.65249
2015-11-20,0.65795
2015-11-23,0.66117
2015-11-24,0.6641699999999999
2015-11-25,0.66201
2015-11-26,0.6615300000000001
2015-11-27,0.66497
2015-11-30,0.66476
2015-12-01,0.66343
2015-12-02,0.66998
2015-12-03,0.66281
2015-12-04,0.6622899999999999
2015-12-07,0.6633899999999999
2015-12-08,0.66672
2015-12-09,0.65937
2015-12-10,0.65903
2015-12-11,0.6573899999999999
2015-12-14,0.66097
2015-12-15,0.66473
2015-12-16,0.66614
2015-12-17,0.67228
2015-12-18,0.67066
2015-12-21,0.67089
2015-12-22,0.67518
2015-12-23,0.67285
2015-12-24,0.6692600000000001
2015-12-29,0.67597
2015-12-30,0.67427
2015-12-31,0.6782
